team_name,club_name,gotsport_team_id,state
Placer United 15B Gold,Placer United Soccer Club,336628,CAN
Blackhawks 15,Capital Valley Futbol Club,462242,CAN
15/16,Los Banos Valley Soccer Club,239693,CAN
Utah Athletic Academy B15,Utah Athletic Academy,598474,UT
IdeaSport 2015 Pre MLS 2,IdeaSport Soccer Academy,503380,FL
Footwork Lab Squad 2015B,Molano Futbol Academy,576890,TXN
ICFC Cottleville 2015B Blue,Impact City FC - St Louis,263591,MO
B2015 EA2,FC Golden State,491004,CAN
Southampton Vikings,Southampton SA,342440,PAE
FUTBOLTECH CHSC - 2015 EVERTON,Futboltech,350544,NJ
NEFC Metro West Boys 2015 MLS Futures Red,NEFC,489712,MA
380 United FC 2015B K Parks,380 United FC,395739,TXN
Napa United Pre-Academy 15B Pre-MLS Next,Napa United,253398,CAN
SANTA CRUZ SHARKS 15 BLUE,Santa Cruz City Soccer Club,382227,CAN
SFK SELECT U10 Jonathan,,419783,FL
ROA Soccer Academy 2015 Grey,ROA Soccer Academy,299317,NV
Legends SC 15B-B,Legends SC Sacramento,516647,CAN
FPFC 16B PRE ECNL I,Florida Premier FC,495943,FL
Outkast FC Brownwood 15B,OutKast FC Brownwood,327157,TXN
2015 Boys Red,Ancient City SC,340804,FL
MSVG 2015 Boys,Miami Springs Soccer,355342,FL
Dortmund,Atletico Santa Rosa,313730,CAN
Mustang SC 15B Elite II,Mustang Soccer,497017,CAN
U11,Diamonds Soccer Academy,158854,FL
Doral West 2015 B,Doral West Soccer Academy,553163,FL
B2015 EA,City SC - San Marcos,225289,CAS
Breakers 15B Purple,Ross Valley Breakers FC,258950,CAN
North Carolina FC 2015 South Red,NCFC Youth,559537,NC
ALBION SC San Diego B15 Academy I,ALBION SC San Diego,241507,CAS
LAFC So Cal Pre ECNL 2 B2015,LAFC So Cal,683242,CAS
