Team Name,Is Arizona,Gender,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
Albion CC SM B14 Academy,False,M,1,1,0,0,100.0,2025-06-14,2025-06-14
South County B2013 Blue,False,M,1,0,1,0,0.0,2025-08-23,2025-08-23
PRFC SEV 13B NL Premier 2 AZ,False,M,1,0,1,0,0.0,2025-08-31,2025-08-31
Northwest 2013 Boys Black,False,M,1,0,1,0,0.0,2025-09-28,2025-09-28
Cimarron FC,False,M,1,0,1,0,0.0,2025-05-31,2025-05-31
Tuzos Academy 2013,False,M,1,0,1,0,0.0,2025-09-19,2025-09-19
B2014 Premier,False,M,1,0,1,0,0.0,2025-05-17,2025-05-17
Temecula FC 2014 quails,False,M,1,1,0,0,100.0,2025-05-31,2025-05-31
"ARCOS FC , CHALLENGERS",False,M,1,1,0,0,100.0,2025-06-15,2025-06-15
Rey Del Castillo FC 2014/15,False,M,1,0,1,0,0.0,2025-09-13,2025-09-13
South County Fury B2014,False,M,1,0,1,0,0.0,2025-05-31,2025-05-31
FCDA 2013B Red,False,M,1,0,1,0,0.0,2025-09-07,2025-09-07
RENO PUMITAS,False,M,1,1,0,0,100.0,2025-06-13,2025-06-13
