Game_ID,Team_A,Team_B,Team_A_Match,Team_B_Match,Reason,Date,Event
20130640,CCV STARS 14 Boys Orange LAV,PRFC Scottsdale 14B Pre-Academy,,PRFC Scottsdale 14B Pre-Academy,Unmatched team(s),4/27/2025,2025 Arizona Presidents Cup
19923004,14B OMolina,PRFC Scottsdale 14B Pre-Academy,,PRFC Scottsdale 14B Pre-Academy,Unmatched team(s),4/13/2025,2025 Arizona Presidents Cup
18993406,PRFC Scottsdale 14B Pre-Academy,15B NMarkette,PRFC Scottsdale 14B Pre-Academy,,Unmatched team(s),2/20/2025,2025 Max Shacknai Invitational
18969214,Legends FC AZ 14B Gold,PRFC Scottsdale 14B Pre-Academy,,PRFC Scottsdale 14B Pre-Academy,Unmatched team(s),2/9/2025,Desert Classic 2025
18569622,U-11 (2014) Boys Pre Academy,PRFC Scottsdale 14B Pre-Academy,,PRFC Scottsdale 14B Pre-Academy,Unmatched team(s),2/1/2025,2024-25 MaxinMotion Open League Season 2
18438116,14B OMolina,PRFC Scottsdale 14B Pre-Academy,,PRFC Scottsdale 14B Pre-Academy,Unmatched team(s),12/14/2024,RSL-AZ Holiday Classic 2024
17858844,PRFC Scottsdale 14B Pre-Academy,U-11 (2014) Boys Pre Academy,PRFC Scottsdale 14B Pre-Academy,,Unmatched team(s),10/13/2024,Arsenal Challenge 2024
17064546,U-11 (2014) Boys Pre Academy,PRFC Scottsdale 14B Pre-Academy,,PRFC Scottsdale 14B Pre-Academy,Unmatched team(s),9/21/2024,2024-25 MaxinMotion Open League Season 1
22676526,U-13 (2013) Boys Yuma Academy,14 Pre-MLSN #1,,14 Pre-MLSN #1,Unmatched team(s),9/21/2025,46th Annual Wolfgang Weber FC Tucson Cup
22676519,14 Pre-MLSN #1,FC Tucson Youth 13B NL,14 Pre-MLSN #1,,Unmatched team(s),9/20/2025,46th Annual Wolfgang Weber FC Tucson Cup
22676524,14 Pre-MLSN #1,Chelsea 13B,14 Pre-MLSN #1,,Unmatched team(s),9/19/2025,46th Annual Wolfgang Weber FC Tucson Cup
20649075,AZSC 15B White,14 Pre-MLSN #1,,14 Pre-MLSN #1,Unmatched team(s),5/24/2025,FSC Kickin in the Pines (Boys - 2025)
19916714,CCV STARS 14 Boys Orange PEO,14 Pre-MLSN #1,,14 Pre-MLSN #1,Unmatched team(s),4/27/2025,2025 Arizona Presidents Cup
20040820,14 Pre-MLSN #1,14 ECNL #2,14 Pre-MLSN #1,,Unmatched team(s),4/6/2025,CDO Challenge Cup 2025
19825981,14 ECNL #2,14 Pre-MLSN #1,,14 Pre-MLSN #1,Unmatched team(s),3/15/2025,PCJSL 2025 U9 - 19 Pima Cup Friendlies
18940765,14 Pre-MLSN #1,14 ECNL #2,14 Pre-MLSN #1,,Unmatched team(s),2/16/2025,2025 RSL Jacobs Classic
16745218,14 Pre-MLSN #1,14B Flores,14 Pre-MLSN #1,,Unmatched team(s),1/31/2025,2024-2025 ASA Advanced Leagues
18662779,14B Flores,14 Pre-MLSN #1,,14 Pre-MLSN #1,Unmatched team(s),1/19/2025,Fort Lowell Shootout 2025
18181894,14B JCFresquez Pre-MLS Next,14 Pre-MLSN #1,,14 Pre-MLSN #1,Unmatched team(s),11/23/2024,2024 Heritage Cup 
16745189,14 Pre-MLSN #1,14B JCFresquez Pre-MLS Next,14 Pre-MLSN #1,,Unmatched team(s),10/19/2024,2024-2025 ASA Advanced Leagues
16745211,CCV STARS 14 Boys Orange LAV,14 Pre-MLSN #1,,14 Pre-MLSN #1,Unmatched team(s),10/5/2024,2024-2025 ASA Advanced Leagues
16745223,14 ECNL #2,14 Pre-MLSN #1,,14 Pre-MLSN #1,Unmatched team(s),9/29/2024,2024-2025 ASA Advanced Leagues
17371370,Phoenix United 2015 Elite,14 Pre-MLSN #1,,14 Pre-MLSN #1,Unmatched team(s),8/31/2024,Phoenix Rising Cup 2024
22796351,AZ Arsenal Pre-ECNL B14,State 48 FC Avondale 13 Copper,AZ Arsenal Pre-ECNL B14,,Unmatched team(s),9/26/2025,The Derby 2025
